,index,Unnamed: 0,Unnamed: 0.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor
19,4046,4046,4046,SmLuO3,Sm,Lu,0,not balanced,not balanced,1.24,0.86,cubic,-3.26,0.572,0,14.456,1.986,4.166,4.166,4.166,90,90,90,4.842,0.637037037,0.8286907526,5.64,5.4259,1.17,1.27,0.8286907526
20,2726,2726,2726,NdHoO3,Nd,Ho,0,3,3,1.27,0.9,cubic,-3.137,0.61,0,15.48,1.702,4.262,4.262,4.262,90,90,90,4.513,0.6666666667,0.823386563,5.53,6.018,1.14,1.23,0.823386563
21,3364,3364,3364,PtBaO3,Pt,Ba,0,element not in BV,element not in BV,0.67,1.35,orthorhombic,-1.432,0.173,0,18.95,0.88,6.334,6.488,9.222,90,90,90,-12.328,1.0,0.5290206289,9.0,5.212000000000001,2.28,0.89,0.5290206289
22,2900,2900,2900,NpScO3,Np,Sc,0,element not in BV,element not in BV,0.98,0.75,orthorhombic,-3.713,-0.069,0.8,13.01,2.627,5.587,5.82,8.002,90,90,90,5.6,0.5555555556,0.7845518095999999,6.19,6.54,1.36,1.36,0.7845518095999999
23,1597,1597,1597,GdTlO3,Gd,Tl,0,3,3,1.11,0.89,orthorhombic,-2.271,0.094,0.001,14.239,1.12,5.626,5.984,8.458,90,90,90,0.686,0.6592592593,0.7765547686,6.15,6.108,1.2,1.62,0.7765547686
24,3256,3256,3256,Pm2O3,Pm,Pm,0,element not in BV,element not in BV,1.14,0.97,cubic,-2.742,0.934,0,17.285,1.171,4.421,4.421,4.421,90,90,90,3.245,0.7185185184999999,0.7589206401999999,5.553999999999999,5.553999999999999,1.13,1.13,0.7589206401999999
25,1985,1985,1985,IrCsO3,Ir,Cs,0,not balanced,not balanced,0.63,1.67,rhombohedral,-1.181,0.08,0.4,23.465,0.949,6.774,6.774,6.774,63.1,63.1,63.1,-0.35470613837242126,1.2370370370000001,0.4635998102,9.1,3.8939999999999997,2.2,0.79,0.4635998102
26,1515,1515,1515,GaSmO3,Ga,Sm,0,not balanced,not balanced,0.62,0.96,rhombohedral,-2.776,0.151,0,14.206,3.133,6.069,6.069,6.069,55.6,55.6,55.6,-4.673,0.7111111111,0.6030304584,5.999,5.64,1.81,1.17,0.6030304584
27,5042,5042,5042,YBO3,Y,B,0,3,3,1.08,0.27,cubic,-2.487,0.88,0,8.307,2.953,3.463,3.463,3.463,90,90,90,5.345,0.2,1.0606601718000002,6.38,8.298,1.22,2.04,1.0606601718000002
28,1507,1507,1507,GaPuO3,Ga,Pu,0,element not in BV,element not in BV,0.62,0.83,orthorhombic,-2.799,0.096,1,15.101,1.347,5.363,6.069,9.28,90,90,90,0.763,0.6148148148,0.6389909903000001,5.999,6.06,1.81,1.28,0.6389909903000001
29,2642,2642,2642,NbCsO3,Nb,Cs,0,not balanced,not balanced,0.77,1.67,orthorhombic,-2.574,0.102,0,21.793,3.412,6.001,6.281,11.563,90,90,90,-0.35470613837242126,1.2370370370000001,0.4963795947,6.88,3.8939999999999997,1.6,0.79,0.4963795947
30,820,820,820,CeErO3,Ce,Er,0,3,3,1.34,0.89,orthorhombic,-3.686,0.023,0,14.812,4.972,5.815,6.057,8.411,90,90,90,4.842,0.6592592593,0.8491594828,5.54,6.101,1.12,1.24,0.8491594828
31,771,771,771,CdPaO3,Cd,Pa,0,element not in BV,element not in BV,1.31,0.91,rhombohedral,-2.367,-0.013,0.2,15.768,0.51,6.159,6.159,6.159,58,58,58,4.126,0.6740740741,0.8322584239,8.993,5.89,1.69,1.5,0.8322584239
32,5090,5090,5090,YScO3,Y,Sc,1,3,3,1.08,0.75,orthorhombic,-3.781,0.027,0,12.271,4.661,5.43,5.721,7.901,90,90,90,5.013,0.5555555556,0.8182235610999999,6.38,6.54,1.22,1.36,0.8182235610999999
33,1213,1213,1213,DyPrO3,Dy,Pr,0,2,4,1.19,0.85,cubic,-2.403,1.31,0,18.062,0.321,4.487,4.487,4.487,90,90,90,-2.614,0.6296296296,0.8163869201,5.94,5.46,1.22,1.13,0.8163869201
34,5085,5085,5085,YRbO3,Y,Rb,0,not balanced,not balanced,1.08,1.52,orthorhombic,-2.135,0.338,0,18.335,1.451,6.164,6.253,9.515,90,90,90,-8.123,1.1259259259,0.5987001665999999,6.38,4.177,1.22,0.82,0.5987001665999999
35,2373,2373,2373,MgNdO3,Mg,Nd,0,not balanced,not balanced,0.89,0.98,orthorhombic,-2.762,0.289,0.2,13.928,0.68,5.633,5.854,8.447,90,90,90,-3.289,0.7259259259,0.6797936437000001,7.646,5.53,1.31,1.14,0.6797936437000001
36,1306,1306,1306,ErTmO3,Er,Tm,0,3,3,1.06,0.88,cubic,-3.008,0.906,0,14.6,1.701,4.179,4.179,4.179,90,90,90,2.033,0.6518518519,0.7641826649,6.101,6.184,1.24,1.25,0.7641826649
37,1416,1416,1416,FeLaO3,Fe,La,0,3,3,0.78,1.03,orthorhombic,-2.577,0.178,1,14.207,1.742,5.688,5.694,8.774,90,90,90,-6.303,0.762962963,0.6328308588,7.87,5.58,1.83,1.1,0.6328308588
38,3844,3844,3844,SbRbO3,Sb,Rb,0,not balanced,not balanced,0.68,1.52,orthorhombic,-1.605,0.248,0.23024652898311615,18.771,1.89,5.206,5.92,12.181,90,90,90,-11.304,1.1259259259,0.5001486989,8.641,4.177,2.05,0.82,0.5001486989
39,4026,4026,4026,SmCeO3,Sm,Ce,0,2,4,1.32,0.87,cubic,-2.444,1.167,0,18.747,0.779,4.543,4.543,4.543,90,90,90,-1.929,0.6444444443999999,0.8504392368000001,5.64,5.54,1.17,1.12,0.8504392368000001
40,1253,1253,1253,ErCoO3,Er,Co,0,3,3,1.06,0.61,orthorhombic,-2.551,0.024,0,10.601,1.392,5.144,5.549,7.428,90,90,90,2.225,0.4518518519,0.8694527258,6.101,7.86,1.24,1.88,0.8694527258
41,2161,2161,2161,LaPmO3,La,Pm,0,element not in BV,element not in BV,1.36,0.97,cubic,-2.955,0.739,0,17.51,1.205,4.44,4.44,4.44,90,90,90,3.929,0.7185185184999999,0.8259738694,5.58,5.553999999999999,1.1,1.13,0.8259738694
42,1558,1558,1558,GdHoO3,Gd,Ho,0,3,3,1.11,0.9,cubic,-3.015,0.818,0,15.277,1.648,4.243,4.243,4.243,90,90,90,1.857,0.6666666667,0.7731034140999999,6.15,6.018,1.2,1.23,0.7731034140999999
43,4031,4031,4031,SmDyO3,Sm,Dy,0,not balanced,not balanced,1.24,0.99,cubic,-3.027,0.749,0,15.621,1.796,4.275,4.275,4.275,90,90,90,4.233,0.7333333333,0.7826523775,5.64,5.94,1.17,1.22,0.7826523775
44,4810,4810,4810,Tm2O3,Tm,Tm,0,not balanced,not balanced,1.05,0.96,cubic,-2.976,0.956,0,14.604,1.456,4.18,4.18,4.18,90,90,90,1.36,0.7111111111,0.734656396,6.184,6.184,1.25,1.25,0.734656396
45,5133,5133,5133,YbHfO3,Yb,Hf,0,2,4,1.14,0.71,orthorhombic,-3.816,-0.109,0,12.29,4.701,5.481,5.69,7.881,90,90,90,6.42,0.5259259259000001,0.8547067404,6.254,6.65,1.1,1.3,0.8547067404
46,2237,2237,2237,LiPuO3,Li,Pu,0,element not in BV,element not in BV,0.92,0.83,orthorhombic,-2.653,-0.046,0.6,12.122,1.592,5.445,5.519,8.067,90,90,90,0.694,0.6148148148,0.7362992629999999,5.392,6.06,0.98,1.28,0.7362992629999999
47,4539,4539,4539,ThCrO3,Th,Cr,0,4,2,1.21,0.8,orthorhombic,-3.282,0.088,0.8,13.172,2.02,5.486,6.329,7.588,90,90,90,4.11,0.5925925926,0.8419503999,6.08,6.766,1.3,1.66,0.8419503999
48,4751,4751,4751,TmBaO3,Tm,Ba,0,not balanced,not balanced,1.05,1.35,orthorhombic,-2.861,0.282,0.201,18.032,0.645,6.429,6.76,8.299,90,90,90,-8.566,1.0,0.6285393611,6.184,5.212000000000001,1.25,0.89,0.6285393611
49,2328,2328,2328,LuTmO3,Lu,Tm,0,3,3,1.03,0.88,cubic,-2.919,1.027,0,14.578,1.025,4.177,4.177,4.177,90,90,90,0.782,0.6518518519,0.7546700176000001,5.4259,6.184,1.27,1.25,0.7546700176000001
50,3863,3863,3863,SbVO3,Sb,V,0,3,3,0.76,0.64,orthorhombic,-1.993,0.112,0.4,11.801,0.606,5.306,5.791,7.681,90,90,90,3.131,0.47407407409999996,0.7497463861,8.641,6.74,2.05,1.63,0.7497463861
51,2703,2703,2703,NdAlO3,Nd,Al,1,3,3,1.27,0.54,rhombohedral,-3.513,-0.03,0,10.645,4.598,5.297,5.297,5.297,60.6,60.6,60.6,6.454,0.4,0.9802220988,5.53,5.986000000000001,1.14,1.61,0.9802220988
52,1663,1663,1663,GeSrO3,Ge,Sr,0,not balanced,not balanced,0.63,1.18,orthorhombic,-2.429,0.148,0.23024652898311615,14.471,2.864,5.208,5.272,10.54,90,90,90,-7.686,0.8740740740999999,0.5533879157,7.899,5.695,2.01,0.95,0.5533879157
53,2110,2110,2110,KUO3,K,U,1,not balanced,not balanced,1.64,0.85,orthorhombic,-3.14,-0.065,0.2,16.302,3.197,6.12,6.144,8.671,90,90,90,-11.265,0.6296296296,0.9610223981,4.341,6.05,0.82,1.38,0.9610223981
54,2466,2466,2466,MnSrO3,Mn,Sr,0,not balanced,not balanced,0.96,1.18,orthorhombic,-2.149,0.26,0.6,14.854,0.604,5.631,5.697,9.261,90,90,90,-5.9,0.8740740740999999,0.645619235,7.435,5.695,1.55,0.95,0.645619235
55,3977,3977,3977,SiNaO3,Si,Na,0,not balanced,not balanced,0.4,1.02,orthorhombic,-2.283,0.226,0.23024652898311615,11.325,0.583,4.918,5.456,8.442,90,90,90,-14.205,0.7555555556,0.5221252604,8.151,5.138999999999999,1.9,0.93,0.5221252604
56,4674,4674,4674,TlAlO3,Tl,Al,0,3,3,0.98,0.54,orthorhombic,-2.028,0.073,0.23024652898311615,10.447,1.01,5.208,5.326,7.533,90,90,90,-0.122,0.4,0.8717242329000001,6.108,5.986000000000001,1.62,1.61,0.8717242329000001
57,3894,3894,3894,ScHoO3,Sc,Ho,0,not balanced,not balanced,0.87,0.9,cubic,-2.501,1.343,0,15.091,0.687,4.226,4.226,4.226,90,90,90,-1.919,0.6666666667,0.6976786908,6.54,6.018,1.36,1.23,0.6976786908
58,5096,5096,5096,YTbO3,Y,Tb,0,3,3,1.08,0.92,cubic,-2.726,0.958,0,15.798,1.658,4.291,4.291,4.291,90,90,90,0.631,0.6814814815000001,0.7569469067,6.38,5.86,1.22,1.1,0.7569469067
59,853,853,853,CeRhO3,Ce,Rh,0,3,3,1.34,0.67,orthorhombic,-2.288,-0.061,0,12.631,0.671,5.469,5.852,7.893,90,90,90,1.093,0.49629629630000005,0.9416421987000001,5.54,7.46,1.12,2.28,0.9416421987000001
60,4610,4610,4610,TiCeO3,Ti,Ce,0,2,4,0.86,0.87,rhombohedral,-3.075,0.288,0.2,15.697,0.625,6.121,6.121,6.121,58.6,58.6,58.6,-7.58,0.6444444443999999,0.7039216155,6.82,5.54,1.54,1.12,0.7039216155
61,3148,3148,3148,PdCaO3,Pd,Ca,0,not balanced,not balanced,0.75,1.0,rhombohedral,-1.339,0.375,0.23024652898311615,14.223,0.536,6,6,6,57,57,57,-8.953,0.7407407407,0.6318826555,8.34,6.1129999999999995,2.2,1.0,0.6318826555
62,4282,4282,4282,TaRbO3,Ta,Rb,0,not balanced,not balanced,0.74,1.52,orthorhombic,-2.689,0.183,0,19.597,3.593,5.93,5.984,11.045,90,90,90,-14.916,1.1259259259,0.5149314191,7.89,4.177,1.5,0.82,0.5149314191
63,1553,1553,1553,GdGaO3,Gd,Ga,1,3,3,1.11,0.62,orthorhombic,-2.954,0.045,0,11.244,4.008,5.305,5.571,7.608,90,90,90,4.584,0.4592592593,0.8829861329,6.15,5.999,1.2,1.81,0.8829861329
64,1246,1246,1246,ErBO3,Er,B,0,3,3,1.06,0.27,cubic,-2.53,0.812,0,8.096,3.096,3.434,3.434,3.434,90,90,90,5.502,0.2,1.0519304584,6.101,8.298,1.24,2.04,1.0519304584
65,21,21,21,AcGdO3,Ac,Gd,0,element not in BV,element not in BV,1.12,0.94,orthorhombic,-3.67,0.016,0,16.276,4.335,6.029,6.225,8.673,90,90,90,5.268,0.6962962963,0.7626872269,5.17,6.15,1.1,1.2,0.7626872269
66,4669,4669,4669,TiYbO3,Ti,Yb,0,not balanced,not balanced,0.74,0.95,orthorhombic,-3.319,0.21,0,12.773,2.612,5.393,5.51,8.596,90,90,90,-8.194,0.7037037037,0.6425448577,6.82,6.254,1.54,1.1,0.6425448577
67,3433,3433,3433,PuAlO3,Pu,Al,0,element not in BV,element not in BV,0.96,0.54,orthorhombic,-3.522,-0.073,1,10.596,3.199,5.307,5.329,7.493,90,90,90,4.571,0.4,0.8642416215000001,6.06,5.986000000000001,1.28,1.61,0.8642416215000001
68,3924,3924,3924,ScSmO3,Sc,Sm,0,not balanced,not balanced,0.87,0.96,orthorhombic,-3.556,0.204,0,13.929,4.072,5.706,5.84,8.36,90,90,90,-3.864,0.7111111111,0.6795571663,6.54,5.64,1.36,1.17,0.6795571663
69,1063,1063,1063,CsPaO3,Cs,Pa,0,element not in BV,element not in BV,1.88,0.91,orthorhombic,-2.871,-0.298,0,17.747,3.798,6.308,6.309,8.919,90,90,90,5.841,0.6740740741,1.0105995147,3.8939999999999997,5.89,0.79,1.5,1.0105995147
70,2891,2891,2891,NpPmO3,Np,Pm,0,element not in BV,element not in BV,0.98,0.97,cubic,-2.827,0.752,0.8,17.381,0.966,4.429,4.429,4.429,90,90,90,-0.35470613837242126,0.7185185184999999,0.7101546552,6.19,5.553999999999999,1.36,1.13,0.7101546552
71,2882,2882,2882,NpNaO3,Np,Na,0,element not in BV,element not in BV,0.98,1.02,orthorhombic,-2.626,0.225,0.4,13.281,1.515,5.475,5.677,8.546,90,90,90,-4.152,0.7555555556,0.6951724895,6.19,5.138999999999999,1.36,0.93,0.6951724895
72,53,53,53,AcScO3,Ac,Sc,0,element not in BV,element not in BV,1.12,0.75,orthorhombic,-3.762,-0.068,0,13.854,4.099,5.782,5.844,8.201,90,90,90,6.193,0.5555555556,0.8316922617,5.17,6.54,1.1,1.36,0.8316922617
73,4222,4222,4222,SrTeO3,Sr,Te,0,2,4,1.44,0.97,rhombohedral,-2.018,0.193,0.23024652898311615,14.971,0.441,5.926,5.926,5.926,60.8,60.8,60.8,3.152,0.7185185184999999,0.8503568618999999,5.695,9.009,0.95,2.1,0.8503568618999999
74,1844,1844,1844,HoFeO3,Ho,Fe,1,3,3,1.12,0.65,orthorhombic,-2.789,-0.027,1,11.17,1.206,5.264,5.587,7.597,90,90,90,3.094,0.4814814815,0.8732768748,6.018,7.87,1.23,1.83,0.8732768748
75,477,477,477,BaNpO3,Ba,Np,1,element not in BV,element not in BV,1.61,0.86,orthorhombic,-3.389,-0.089,0.6,17.299,2.57,6.233,6.273,8.849,90,90,90,4.436,0.637037037,0.9470751458,5.212000000000001,6.19,0.89,1.36,0.9470751458
76,2622,2622,2622,NaVO3,Na,V,1,1,5,1.39,0.54,tetragonal,-2.261,0.214,0,10.687,0.38,3.673,3.673,3.961,90,90,90,2.295,0.4,1.0251177674,5.138999999999999,6.74,0.93,1.63,1.0251177674
77,540,540,540,BeLaO3,Be,La,0,not balanced,not balanced,0.45,1.03,orthorhombic,-2.872,0.171,0,11.458,0.262,4.859,5.637,8.366,90,90,90,-5.623,0.762962963,0.5347866412,9.322000000000001,5.58,1.57,1.1,0.5347866412
78,1592,1592,1592,GdTbO3,Gd,Tb,0,3,3,1.11,0.92,cubic,-2.778,0.899,0,15.81,1.582,4.292,4.292,4.292,90,90,90,1.004,0.6814814815000001,0.7662919303,6.15,5.86,1.2,1.1,0.7662919303
79,1221,1221,1221,DyScO3,Dy,Sc,1,3,3,1.08,0.75,orthorhombic,-3.803,0.026,0,12.208,4.69,5.422,5.711,7.886,90,90,90,5.05,0.5555555556,0.8182235610999999,5.94,6.54,1.22,1.36,0.8182235610999999
80,2052,2052,2052,KBiO3,K,Bi,1,1,5,1.64,0.76,orthorhombic,-1.352,0.098,0.23024652898311615,14.845,0.273,5.912,5.97,8.412,90,90,90,0.393,0.5629629629999999,1.0020138748,4.341,7.289,0.82,2.02,1.0020138748
81,649,649,649,BiTmO3,Bi,Tm,0,3,3,1.38,0.88,cubic,-2.135,0.568,0,15.235,0.282,4.239,4.239,4.239,90,90,90,-0.198,0.6518518519,0.8656509025,7.289,6.184,2.02,1.25,0.8656509025
82,31,31,31,AcLuO3,Ac,Lu,0,element not in BV,element not in BV,1.12,0.86,orthorhombic,-3.793,-0.022,0,15.05,4.709,5.905,6.047,8.429,90,90,90,5.945,0.637037037,0.7902958143000001,5.17,5.4259,1.1,1.27,0.7902958143000001
83,5106,5106,5106,Y2O3,Y,Y,0,3,3,1.08,0.9,cubic,-2.888,0.92,0,15.51,1.751,4.264,4.264,4.264,90,90,90,1.075,0.6666666667,0.7636753237,6.38,6.38,1.22,1.22,0.7636753237
84,615,615,615,BiLuO3,Bi,Lu,0,3,3,1.38,0.86,orthorhombic,-2.686,0.032,0,14.19,2.947,5.682,6.059,8.243,90,90,90,0.295,0.637037037,0.8734848473000001,7.289,5.4259,2.02,1.27,0.8734848473000001
85,3330,3330,3330,Pr2O3,Pr,Pr,0,3,3,1.18,0.99,cubic,-2.652,0.924,0,18.345,0.91,4.51,4.51,4.51,90,90,90,2.96,0.7333333333,0.7645214344,5.46,5.46,1.13,1.13,0.7645214344
86,4899,4899,4899,VBiO3,V,Bi,0,not balanced,not balanced,0.72,0.9,orthorhombic,-1.819,0.233,0.4,13.85,0.451,5.724,5.773,8.382,90,90,90,-0.35470613837242126,0.6666666667,0.6505382386999999,6.74,7.289,1.63,2.02,0.6505382386999999
87,1889,1889,1889,HoTlO3,Ho,Tl,0,not balanced,not balanced,1.12,1.2,orthorhombic,-2.287,0.118,0,13.943,1.11,5.534,5.895,8.549,90,90,90,0.482,0.8888888889,0.6849230390000001,6.018,6.108,1.23,1.62,0.6849230390000001
88,187,187,187,AlPaO3,Al,Pa,0,element not in BV,element not in BV,0.54,0.91,cubic,-2.259,0.768,0,16.861,2.193,4.385,4.385,4.385,90,90,90,5.433,0.6740740741,0.5913415117,5.986000000000001,5.89,1.61,1.5,0.5913415117
89,4389,4389,4389,TcCaO3,Tc,Ca,0,element not in BV,element not in BV,0.6,1.0,rhombohedral,-2.037,0.285,0.6,14.506,0.538,6.06,6.06,6.06,56.6,56.6,56.6,-0.35470613837242126,0.7407407407,0.5867481801,7.28,6.1129999999999995,1.9,1.0,0.5867481801
90,1736,1736,1736,HfSrO3,Hf,Sr,0,4,2,0.83,1.18,orthorhombic,-3.325,0.328,0,15.858,3.16,5.787,5.903,9.284,90,90,90,-12.667,0.8740740740999999,0.609285685,6.65,5.695,1.3,0.95,0.609285685
91,2816,2816,2816,NiPbO3,Ni,Pb,0,2,4,0.69,0.78,orthorhombic,-1.052,0.114,0.4,12.029,0.343,5.429,5.509,8.043,90,90,90,-0.35470613837242126,0.5777777778000001,0.6772290299,7.635,7.416,1.91,2.33,0.6772290299
92,581,581,581,BeYbO3,Be,Yb,0,not balanced,not balanced,0.45,0.95,orthorhombic,-2.534,0.056,0.23024652898311615,10.042,2.619,5.067,5.659,7.004,90,90,90,-7.823,0.7037037037,0.5533879157,9.322000000000001,6.254,1.57,1.1,0.5533879157
93,4471,4471,4471,TeEuO3,Te,Eu,0,not balanced,not balanced,0.77,1.06,orthorhombic,-2.343,-0.162,0,15.717,3.278,5.827,6.439,8.377,90,90,90,-9.104,0.7851851851999999,0.6220192432,9.009,5.67,2.1,1.2,0.6220192432
94,1294,1294,1294,ErScO3,Er,Sc,0,3,3,1.06,0.75,cubic,-3.269,0.583,0,12.575,2.751,3.976,3.976,3.976,90,90,90,4.961,0.5555555556,0.8114892108,6.101,6.54,1.24,1.36,0.8114892108
95,2229,2229,2229,LiNpO3,Li,Np,0,element not in BV,element not in BV,0.92,0.86,rhombohedral,-2.882,0.05,0.4,12.707,1.647,5.877,5.877,5.877,55.1,55.1,55.1,1.274,0.637037037,0.7263042504,5.392,6.19,0.98,1.36,0.7263042504
96,4324,4324,4324,TbErO3,Tb,Er,0,not balanced,not balanced,1.1,0.89,cubic,-2.902,0.827,0,14.97,1.887,4.214,4.214,4.214,90,90,90,4.277,0.6592592593,0.7733980418999999,5.86,6.101,1.1,1.24,0.7733980418999999
97,140,140,140,AgVO3,Ag,V,1,1,5,1.28,0.54,tetragonal,-1.582,0.125,0,11.419,0.341,3.684,3.684,4.208,90,90,90,1.832,0.4,0.9839634045000001,7.5760000000000005,6.74,1.93,1.63,0.9839634045000001
98,4012,4012,4012,SiYbO3,Si,Yb,0,not balanced,not balanced,0.4,0.95,orthorhombic,-3.223,0.056,0.23024652898311615,11.741,3.964,4.872,4.969,9.701,90,90,90,-8.896,0.7037037037,0.5380160292,8.151,6.254,1.9,1.1,0.5380160292
99,921,921,921,CoPrO3,Co,Pr,0,3,3,0.61,0.99,rhombohedral,-2.319,0.096,0.8,15.044,1.693,6.229,6.229,6.229,54.9,54.9,54.9,-0.35470613837242126,0.7333333333,0.5922774747999999,7.86,5.46,1.88,1.13,0.5922774747999999
100,763,763,763,CdMnO3,Cd,Mn,0,2,4,1.31,0.53,orthorhombic,-1.514,0.1,0.6,10.496,0.229,5.259,5.338,7.478,90,90,90,0.247,0.39259259259999996,1.0004808713,8.993,7.435,1.69,1.55,1.0004808713
101,4183,4183,4183,SrGeO3,Sr,Ge,0,2,4,1.44,0.53,cubic,-2.434,0.143,0.23024652898311615,11.292,0.308,3.836,3.836,3.836,90,90,90,4.097,0.39259259259999996,1.0493765529,5.695,7.899,0.95,2.01,1.0493765529
