,Unnamed: 0,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor,A_EN,B_EN,C_EN,A_IE,B_IE,C_IE
19,19,AcFeO3,Ac,Fe,False,element not in BV,element not in BV,1.12,0.67,orthorhombic,-2.731,-0.116,1,12.687,0.906,5.63,5.655,7.97,90,90,90,4.135,O,1.385,0.8619476822,1.1,1.83,3.44,5.17,7.87,13.618
20,20,AcGaO3,Ac,Ga,False,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.914,-0.073,0,12.393,3.174,5.584,5.622,7.895,90,90,90,5.294,O,1.385,0.8834426368000001,1.1,1.81,3.44,5.17,5.999,13.618
21,21,AcGdO3,Ac,Gd,False,element not in BV,element not in BV,1.12,0.94,orthorhombic,-3.67,0.016,0,16.276,4.335,6.029,6.225,8.673,90,90,90,5.268,O,1.385,0.7618505320000001,1.1,1.2,3.44,5.17,6.15,13.618
22,22,AcGeO3,Ac,Ge,False,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.547,0.093,0,13.62,0,5.744,5.816,8.154,90,90,90,3.511,O,1.385,0.8790583061,1.1,2.01,3.44,5.17,7.899,13.618
23,23,AcHfO3,Ac,Hf,False,element not in BV,element not in BV,1.12,0.71,orthorhombic,-3.414,0.104,0,14.273,0,5.773,5.94,8.324,90,90,90,5.504,O,1.385,0.8454904472,1.1,1.3,3.44,5.17,6.65,13.618
24,24,AcHgO3,Ac,Hg,False,element not in BV,element not in BV,1.12,1.11,orthorhombic,-1.951,0.021,0,15.992,0,5.817,6.68,8.231,90,90,90,0.336,O,1.385,0.7099408765,1.1,2,3.44,5.17,10.437000000000001,13.618
25,25,AcHoO3,Ac,Ho,False,element not in BV,element not in BV,1.12,0.9,orthorhombic,-3.731,-0.004,0,15.716,4.552,5.975,6.152,8.551,90,90,90,5.577,O,1.385,0.775187084,1.1,1.23,3.44,5.17,6.018,13.618
26,26,AcInO3,Ac,In,False,element not in BV,element not in BV,1.12,0.8,orthorhombic,-2.748,-0.036,0,14.775,2.695,5.857,6.035,8.359,90,90,90,3.988,O,1.385,0.8106647537,1.1,1.78,3.44,5.17,5.7860000000000005,13.618
27,27,AcIrO3,Ac,Ir,False,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.194,0.075,0,13.405,0.754,5.616,5.907,8.082,90,90,90,1.277,O,1.385,0.8790583061,1.1,2.2,3.44,5.17,9.1,13.618
28,28,AcKO3,Ac,K,False,element not in BV,element not in BV,1.12,1.38,orthorhombic,-1.973,0.394,0.4,19.767,0,6.346,6.434,9.682,90,90,90,-2.742,O,1.385,0.6406157276,1.1,0.82,3.44,5.17,4.341,13.618
29,29,AcLaO3,Ac,La,False,element not in BV,element not in BV,1.12,1.03,cubic,-2.983,0.663,0,18.986,1.423,4.562,4.562,4.562,90,90,90,4.187,O,1.385,0.7334585867,1.1,1.1,3.44,5.17,5.58,13.618
30,30,AcLiO3,Ac,Li,False,element not in BV,element not in BV,1.12,0.76,cubic,-2.248,0.223,0.399,11.628,0,3.874,3.874,3.874,90,90,90,-0.334,O,1.385,0.8257820452,1.1,0.98,3.44,5.17,5.392,13.618
31,31,AcLuO3,Ac,Lu,False,element not in BV,element not in BV,1.12,0.86,orthorhombic,-3.793,-0.022,0,15.05,4.709,5.905,6.047,8.429,90,90,90,5.945,O,1.385,0.7889988806,1.1,1.27,3.44,5.17,5.4259,13.618
32,32,AcMgO3,Ac,Mg,False,element not in BV,element not in BV,1.12,0.72,rhombohedral,-2.898,0.079,0.201,12.717,0,5.556,5.556,5.556,62.2,62.2,62.2,-,O,1.385,0.8414738654999999,1.1,1.31,3.44,5.17,7.646,13.618
33,33,AcMnO3,Ac,Mn,False,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.918,-0.12,0.8,12.612,0,5.612,5.655,7.948,90,90,90,4.094,O,1.385,0.8834426368000001,1.1,1.55,3.44,5.17,7.435,13.618
34,34,AcMoO3,Ac,Mo,False,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.638,0.121,0.403,13.687,0,5.684,5.914,8.143,90,90,90,4.549,O,1.385,0.8834426368000001,1.1,2.16,3.44,5.17,7.099,13.618
35,35,AcNaO3,Ac,Na,False,element not in BV,element not in BV,1.12,1.02,cubic,-1.826,0.544,0.4,13.679,0,4.09,4.09,4.09,90,90,90,-,O,1.385,0.7365083105,1.1,0.93,3.44,5.17,5.138999999999999,13.618
36,36,AcNbO3,Ac,Nb,False,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.955,0.081,0.001,13.985,0,5.717,5.966,8.201,90,90,90,4.946,O,1.385,0.8577736014,1.1,1.6,3.44,5.17,6.88,13.618
37,37,AcNdO3,Ac,Nd,False,element not in BV,element not in BV,1.12,0.98,cubic,-3.029,0.571,0,18.259,1.828,4.503,4.503,4.503,90,90,90,4.679,O,1.385,0.7489651106999999,1.1,1.14,3.44,5.17,5.53,13.618
38,38,AcNiO3,Ac,Ni,False,element not in BV,element not in BV,1.12,0.59,orthorhombic,-2.365,-0.077,0.2,11.833,0,5.505,5.522,7.786,90,90,90,1.575,O,1.385,0.8968620187,1.1,1.91,3.44,5.17,7.635,13.618
39,39,AcNpO3,Ac,Np,False,element not in BV,element not in BV,1.12,0.86,cubic,-3.018,0.512,0.794,18.186,0,4.497,4.497,4.497,90,90,90,4.396,O,1.385,0.7889988806,1.1,1.36,3.44,5.17,6.19,13.618
40,40,AcOsO3,Ac,Os,False,element not in BV,element not in BV,1.12,0.57,orthorhombic,-2.146,0.167,0.109,13.292,0,5.463,6.091,7.989,90,90,90,2.322,O,1.385,0.9060370777,1.1,2.2,3.44,5.17,8.7,13.618
41,41,AcPaO3,Ac,Pa,False,element not in BV,element not in BV,1.12,0.91,cubic,-2.693,0.491,0.241,18.517,0,4.524,4.524,4.524,90,90,90,4.095,O,1.385,0.7718093625,1.1,1.5,3.44,5.17,5.89,13.618
42,42,AcPbO3,Ac,Pb,False,element not in BV,element not in BV,1.12,0.99,orthorhombic,-2.369,0.038,0,16.738,0,6.034,6.377,8.701,90,90,90,1.255,O,1.385,0.7458115734,1.1,2.33,3.44,5.17,7.416,13.618
43,43,AcPdO3,Ac,Pd,False,element not in BV,element not in BV,1.12,0.75,orthorhombic,-2.171,-0.122,0,13.678,0,5.715,5.924,8.081,90,90,90,1.499,O,1.385,0.8296498768,1.1,2.2,3.44,5.17,8.34,13.618
44,44,AcPmO3,Ac,Pm,False,element not in BV,element not in BV,1.12,0.97,cubic,-3.111,0.518,0,17.814,2.014,4.466,4.466,4.466,90,90,90,4.845,O,1.385,0.7521454297,1.1,-,3.44,5.17,5.553999999999999,13.618
45,45,AcPrO3,Ac,Pr,False,element not in BV,element not in BV,1.12,0.92,cubic,-2.953,0.625,0,18.704,1.649,4.539,4.539,4.539,90,90,90,4.449,O,1.385,0.7684609487999999,1.1,1.13,3.44,5.17,5.46,13.618
46,46,AcPtO3,Ac,Pt,False,element not in BV,element not in BV,1.12,0.67,orthorhombic,-2.101,0.037,0,14.009,0,5.811,6.177,7.805,90,90,90,1.204,O,1.385,0.8619476822,1.1,2.28,3.44,5.17,9.0,13.618
47,47,AcPuO3,Ac,Pu,False,element not in BV,element not in BV,1.12,0.83,cubic,-3.005,0.602,0.942,17.512,0,4.441,4.441,4.441,90,90,90,3.324,O,1.385,0.7996850956999999,1.1,1.28,3.44,5.17,6.06,13.618
48,48,AcRbO3,Ac,Rb,False,element not in BV,element not in BV,1.12,1.52,orthorhombic,-1.914,0.444,0,20.923,0.599,5.98,6.089,11.491,90,90,90,-2.002,O,1.385,0.6097426805,1.1,0.82,3.44,5.17,4.177,13.618
49,49,AcReO3,Ac,Re,False,element not in BV,element not in BV,1.12,0.57,orthorhombic,-2.286,0.273,0.215,13.361,0,5.556,5.978,8.046,90,90,90,2.924,O,1.385,0.9060370777,1.1,1.9,3.44,5.17,7.88,13.618
50,50,AcRhO3,Ac,Rh,False,element not in BV,element not in BV,1.12,0.61,orthorhombic,-2.334,-0.077,0,13.23,0.604,5.635,5.837,8.046,90,90,90,1.899,O,1.385,0.8878709207,1.1,2.28,3.44,5.17,7.46,13.618
51,51,AcRuO3,Ac,Ru,False,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.345,0.015,0.197,13.161,0,5.619,5.835,8.029,90,90,90,2.787,O,1.385,0.8834426368000001,1.1,2.2,3.44,5.17,7.37,13.618
52,52,AcSbO3,Ac,Sb,False,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.465,0.114,0,16.31,0.296,5.98,6.327,8.621,90,90,90,2.835,O,1.385,0.8577736014,1.1,2.05,3.44,5.17,8.641,13.618
53,53,AcScO3,Ac,Sc,False,element not in BV,element not in BV,1.12,0.75,orthorhombic,-3.762,-0.068,0,13.854,4.099,5.782,5.844,8.201,90,90,90,6.193,O,1.385,0.8296498768,1.1,1.36,3.44,5.17,6.54,13.618
54,54,AcSiO3,Ac,Si,False,element not in BV,element not in BV,1.12,0.4,tetragonal,-2.778,0.395,0,12.758,0,3.79,3.79,4.442,90,90,90,4.34,O,1.385,0.9923263232,1.1,1.9,3.44,5.17,8.151,13.618
55,55,AcSmO3,Ac,Sm,False,element not in BV,element not in BV,1.12,0.96,orthorhombic,-3.608,0.033,0,16.756,4.287,6.08,6.293,8.759,90,90,90,4.949,O,1.385,0.7553528729000001,1.1,1.17,3.44,5.17,5.64,13.618
56,56,AcSnO3,Ac,Sn,False,element not in BV,element not in BV,1.12,0.69,orthorhombic,-2.582,0.101,0,15.772,0,5.942,6.208,8.551,90,90,90,3.025,O,1.385,0.8536397526999999,1.1,1.96,3.44,5.17,7.343999999999999,13.618
57,57,AcSrO3,Ac,Sr,False,element not in BV,element not in BV,1.12,1.18,cubic,-2.247,0.78,-0.006,17.587,0,4.447,4.447,4.447,90,90,90,-1.505,O,1.385,0.6905662717000001,1.1,0.95,3.44,5.17,5.695,13.618
58,58,AcTaO3,Ac,Ta,False,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.945,0.159,0,13.765,0,5.615,5.983,8.195,90,90,90,4.844,O,1.385,0.8577736014,1.1,1.5,3.44,5.17,7.89,13.618
59,59,AcTbO3,Ac,Tb,False,element not in BV,element not in BV,1.12,0.84,orthorhombic,-3.561,0.009,0,16.078,4.382,6.009,6.201,8.63,90,90,90,5.379,O,1.385,0.7960910053,1.1,-,3.44,5.17,5.86,13.618
60,60,AcTcO3,Ac,Tc,False,element not in BV,element not in BV,1.12,0.6,orthorhombic,-2.487,0.069,0.397,13.358,0,5.652,5.84,8.095,90,90,90,3.73,O,1.385,0.8923438221,1.1,1.9,3.44,5.17,7.28,13.618
61,61,AcTeO3,Ac,Te,False,element not in BV,element not in BV,1.12,0.77,cubic,-1.817,0.558,0.001,16.423,0,4.346,4.346,4.346,90,90,90,2.116,O,1.385,0.8219501099,1.1,2.1,3.44,5.17,9.009,13.618
62,62,AcThO3,Ac,Th,False,element not in BV,element not in BV,1.12,0.94,cubic,-3.113,0.622,0.002,19.466,0,4.6,4.6,4.6,90,90,90,3.724,O,1.385,0.7618505320000001,1.1,1.3,3.44,5.17,6.08,13.618
63,63,AcTiO3,Ac,Ti,False,element not in BV,element not in BV,1.12,0.71,orthorhombic,-3.443,-0.092,0.003,12.8,0,5.647,5.662,8.007,90,90,90,5.944,O,1.385,0.8454904472,1.1,1.54,3.44,5.17,6.82,13.618
64,64,AcTlO3,Ac,Tl,False,element not in BV,element not in BV,1.12,1.2,orthorhombic,-2.27,-0.012,0,15.973,1.041,5.937,6.296,8.547,90,90,90,1.876,O,1.385,0.6852233992,1.1,1.62,3.44,5.17,6.108,13.618
65,65,AcTmO3,Ac,Tm,False,element not in BV,element not in BV,1.12,0.96,orthorhombic,-3.772,-0.016,0,15.361,4.565,5.94,6.089,8.494,90,90,90,5.793,O,1.385,0.7553528729000001,1.1,1.25,3.44,5.17,6.184,13.618
66,66,AcUO3,Ac,U,False,element not in BV,element not in BV,1.12,0.85,cubic,-2.874,0.635,0.525,17.809,0,4.466,4.466,4.466,90,90,90,2.892,O,1.385,0.7925290769,1.1,1.38,3.44,5.17,6.05,13.618
67,67,AcVO3,Ac,V,False,element not in BV,element not in BV,1.12,0.64,orthorhombic,-3.221,-0.116,0.4,12.873,1.21,5.664,5.684,7.997,90,90,90,4.968,O,1.385,0.8747172775,1.1,1.63,3.44,5.17,6.74,13.618
68,68,AcWO3,Ac,W,False,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.501,0.268,0.003,13.405,0,5.669,5.86,8.07,90,90,90,3.492,O,1.385,0.8790583061,1.1,2.36,3.44,5.17,7.98,13.618
69,69,AcYO3,Ac,Y,False,element not in BV,element not in BV,1.12,0.9,orthorhombic,-3.693,0.001,0,15.939,4.608,5.993,6.183,8.603,90,90,90,5.419,O,1.385,0.775187084,1.1,1.22,3.44,5.17,6.38,13.618
70,70,AcYbO3,Ac,Yb,False,element not in BV,element not in BV,1.12,0.95,orthorhombic,-3.094,0.099,0.2,15.548,0,5.937,6.214,8.429,90,90,90,-0.312,O,1.385,0.7585877888,1.1,-,3.44,5.17,6.254,13.618
71,71,AcZnO3,Ac,Zn,False,element not in BV,element not in BV,1.12,0.74,orthorhombic,-2.416,0.033,0,12.54,0,5.587,5.662,7.928,90,90,90,0.739,O,1.385,0.8335541115,1.1,1.65,3.44,5.17,9.394,13.618
72,72,AcZrO3,Ac,Zr,False,element not in BV,element not in BV,1.12,0.72,orthorhombic,-3.365,0.069,-0.001,14.751,0,5.84,6.057,8.34,90,90,90,5.242,O,1.385,0.8414738654999999,1.1,1.33,3.44,5.17,6.84,13.618
73,73,AgAcO3,Ag,Ac,False,element not in BV,element not in BV,1.28,1.12,orthorhombic,-1.674,0.283,0,15.943,0,6.008,6.225,8.526,90,90,90,-1.294,O,1.385,0.7522712862000001,1.93,1.1,3.44,7.5760000000000005,5.17,13.618
74,74,Ag2O3,Ag,Ag,False,not balanced,not balanced,1.28,0.95,cubic,0.351,0.576,-,12.997,0,4.02,4.02,4.02,90,90,90,-2.694,O,1.385,0.8070405019,1.93,1.93,3.44,7.5760000000000005,7.5760000000000005,13.618
75,75,AgAlO3,Ag,Al,False,not balanced,not balanced,1.28,0.54,orthorhombic,-1.51,0.235,-,9.898,0,5.094,5.323,7.3,90,90,90,-1.341,O,1.385,0.9789296477,1.93,1.61,3.44,7.5760000000000005,5.986000000000001,13.618
76,76,AgAsO3,Ag,As,False,1,5,1.28,0.46,tetragonal,-0.815,0.293,-,11.367,0,3.571,3.571,4.458,90,90,90,0.529,O,1.385,1.0213764617,1.93,2.18,3.44,7.5760000000000005,9.81,13.618
77,77,AgAuO3,Ag,Au,False,element not in BV,element not in BV,1.28,0.93,cubic,0.286,0.539,-,13.242,0,4.046,4.046,4.046,90,90,90,-1.113,O,1.385,0.814012774,1.93,2.54,3.44,7.5760000000000005,9.225,13.618
78,78,AgBO3,Ag,B,False,3,3,0.75,0.27,cubic,-0.35,1.074,-,8.138,0,3.439,3.439,3.439,90,90,90,-2.641,O,1.385,0.9121891105,1.93,2.04,3.44,7.5760000000000005,8.298,13.618
79,79,AgBaO3,Ag,Ba,False,not balanced,not balanced,1.28,1.35,orthorhombic,-0.989,0.388,-,15.631,0.247,6.636,6.739,6.99,90,90,90,-6.975,O,1.385,0.6890089842,1.93,0.89,3.44,7.5760000000000005,5.212000000000001,13.618
80,80,AgBeO3,Ag,Be,False,not balanced,not balanced,1.28,0.45,cubic,-0.616,0.683,-,8.781,0,3.528,3.528,3.528,90,90,90,-3.058,O,1.385,1.026942546,1.93,1.57,3.44,7.5760000000000005,9.322000000000001,13.618
81,81,AgBiO3,Ag,Bi,False,1,5,1.28,0.76,rhombohedral,-0.817,0.064,-,13.662,0,5.765,5.765,5.765,60.4,60.4,60.4,-0.062,O,1.385,0.8785266069,1.93,2.02,3.44,7.5760000000000005,7.289,13.618
82,82,AgCaO3,Ag,Ca,False,not balanced,not balanced,1.28,1.0,rhombohedral,-0.975,0.435,-,14.204,0,5.884,5.884,5.884,59.4,59.4,59.4,-6.108,O,1.385,0.7901214138,1.93,1,3.44,7.5760000000000005,6.1129999999999995,13.618
83,83,AgCdO3,Ag,Cd,False,not balanced,not balanced,1.28,0.95,cubic,0.174,0.781,-,14.05,0,4.126,4.126,4.126,90,90,90,-4.143,O,1.385,0.8070405019,1.93,1.69,3.44,7.5760000000000005,8.993,13.618
84,84,AgCeO3,Ag,Ce,False,not balanced,not balanced,1.28,0.94,orthorhombic,-1.597,0.28,0,15.13,0,5.962,6.115,8.3,90,90,90,-3.253,O,1.385,0.8105116438,1.93,1.12,3.44,7.5760000000000005,5.54,13.618
85,85,AgCoO3,Ag,Co,False,not balanced,not balanced,1.28,0.63,orthorhombic,-0.481,0.258,0.005,10.146,0,5.208,5.302,7.348,90,90,90,-,O,1.385,0.9352057429,1.93,1.88,3.44,7.5760000000000005,7.86,13.618
86,86,AgCrO3,Ag,Cr,False,1,5,1.28,0.49,orthorhombic,-1.236,0.15,0.386,10.545,0,5.357,5.401,7.29,90,90,90,0.037,O,1.385,1.0050344383,1.93,1.66,3.44,7.5760000000000005,6.766,13.618
87,87,AgCsO3,Ag,Cs,False,not balanced,not balanced,1.28,1.67,cubic,0.539,1.287,-,16.599,0,4.362,4.362,4.362,90,90,90,-1.803,O,1.385,0.6168378304,1.93,0.79,3.44,7.5760000000000005,3.8939999999999997,13.618
88,88,AgCuO3,Ag,Cu,False,not balanced,not balanced,1.28,0.68,orthorhombic,-0.224,0.23,-,10.222,0,5.066,5.322,7.583,90,90,90,-2.405,O,1.385,0.912561536,1.93,1.9,3.44,7.5760000000000005,7.726,13.618
89,89,AgDyO3,Ag,Dy,False,not balanced,not balanced,1.28,0.99,cubic,-1.334,0.704,0,16.23,0,4.329,4.329,4.329,90,90,90,-3.359,O,1.385,0.7934482408,1.93,1.22,3.44,7.5760000000000005,5.94,13.618
90,90,AgErO3,Ag,Er,False,not balanced,not balanced,1.28,0.89,cubic,-1.386,0.675,-0.023,15.94,0,4.303,4.303,4.303,90,90,90,-3.225,O,1.385,0.8283250865,1.93,1.24,3.44,7.5760000000000005,6.101,13.618
91,91,AgEuO3,Ag,Eu,False,not balanced,not balanced,1.28,1.06,orthorhombic,-1.17,0.347,-0.033,13.994,0,5.684,5.956,8.268,90,90,90,-4.981,O,1.385,0.7707319312,1.93,-,3.44,7.5760000000000005,5.67,13.618
92,92,AgFeO3,Ag,Fe,False,not balanced,not balanced,1.28,0.67,orthorhombic,-0.817,0.142,0.851,10.78,0,5.451,5.474,7.225,90,90,90,-,O,1.385,0.9170022248,1.93,1.83,3.44,7.5760000000000005,7.87,13.618
93,93,AgGaO3,Ag,Ga,False,not balanced,not balanced,1.28,0.62,orthorhombic,-0.927,0.236,-,10.602,0,5.13,5.419,7.628,90,90,90,-2.518,O,1.385,0.9398701107,1.93,1.81,3.44,7.5760000000000005,5.999,13.618
94,94,AgGdO3,Ag,Gd,False,not balanced,not balanced,1.28,0.94,cubic,-1.281,0.728,0,16.72,0,4.373,4.373,4.373,90,90,90,-3.47,O,1.385,0.8105116438,1.93,1.2,3.44,7.5760000000000005,6.15,13.618
95,95,AgGeO3,Ag,Ge,False,not balanced,not balanced,1.28,0.63,orthorhombic,-1.053,0.186,-,10.4,0,5.325,5.343,7.31,90,90,90,-0.267,O,1.385,0.9352057429,1.93,2.01,3.44,7.5760000000000005,7.899,13.618
96,96,AgHfO3,Ag,Hf,False,not balanced,not balanced,1.28,0.71,orthorhombic,-2.24,0.17,0.002,12.255,0,5.376,5.735,7.951,90,90,90,-0.054,O,1.385,0.8994938291,1.93,1.3,3.44,7.5760000000000005,6.65,13.618
97,97,AgHgO3,Ag,Hg,False,not balanced,not balanced,1.28,1.11,cubic,0.409,0.703,-,14.36,0,4.156,4.156,4.156,90,90,90,-3.166,O,1.385,0.7552864015,1.93,2,3.44,7.5760000000000005,10.437000000000001,13.618
98,98,AgHoO3,Ag,Ho,False,not balanced,not balanced,1.28,0.9,cubic,-1.362,0.688,0.03,15.995,0,4.308,4.308,4.308,90,90,90,-3.272,O,1.385,0.8247000314,1.93,1.23,3.44,7.5760000000000005,6.018,13.618
99,99,AgInO3,Ag,In,False,not balanced,not balanced,1.28,0.8,cubic,-0.391,0.643,-,14.198,0,4.141,4.141,4.141,90,90,90,-3.35,O,1.385,0.86244374,1.93,1.78,3.44,7.5760000000000005,5.7860000000000005,13.618
100,100,AgIrO3,Ag,Ir,False,1,5,1.28,0.57,rhombohedral,-0.591,0.154,0.007,11.313,0,5.367,5.367,5.367,61.6,61.6,61.6,1.233,O,1.385,0.9639077094,1.93,2.2,3.44,7.5760000000000005,9.1,13.618
101,101,AgKO3,Ag,K,False,not balanced,not balanced,1.28,1.38,cubic,1.006,1.761,-,16.199,0,4.327,4.327,4.327,90,90,90,-4.658,O,1.385,0.681533299,1.93,0.82,3.44,7.5760000000000005,4.341,13.618
102,102,AgLaO3,Ag,La,False,not balanced,not balanced,1.28,1.03,orthorhombic,-1.707,0.261,0.089,15.011,0,5.835,6.067,8.48,90,90,90,-2.616,O,1.385,0.7803062409,1.93,1.1,3.44,7.5760000000000005,5.58,13.618
103,103,AgLiO3,Ag,Li,False,not balanced,not balanced,1.28,0.76,cubic,0.105,0.926,-,9.602,0,3.635,3.635,3.635,90,90,90,-5.547,O,1.385,0.8785266069,1.93,0.98,3.44,7.5760000000000005,5.392,13.618
104,104,AgLuO3,Ag,Lu,False,not balanced,not balanced,1.28,0.86,cubic,-1.528,0.565,-0.4,15.37,0,4.252,4.252,4.252,90,90,90,-2.317,O,1.385,0.8393940186,1.93,1.27,3.44,7.5760000000000005,5.4259,13.618
105,105,AgMgO3,Ag,Mg,False,not balanced,not balanced,1.28,0.72,cubic,-0.609,0.694,-,11.551,0,3.865,3.865,3.865,90,90,90,-3.823,O,1.385,0.8952206992,1.93,1.31,3.44,7.5760000000000005,7.646,13.618
106,106,AgMnO3,Ag,Mn,False,not balanced,not balanced,1.28,0.62,orthorhombic,-1.013,0.151,0.596,10.451,0,5.328,5.333,7.356,90,90,90,-0.942,O,1.385,0.9398701107,1.93,1.55,3.44,7.5760000000000005,7.435,13.618
